id,dealer_code,dealer_name,store_numbers,working_hours
12,100044,Company Showroom Adyar Chennai – Sales,"[""+919176967797"",""+917200329667"",""+919789739286"",""+919656719012"",""+919384847790"",""+918939232423"",""+919176024525"",""+918939847860""]","{""sun"":[{""working_from"":""1000"",""working_to"":""1900""}],""mon"":[{""working_from"":""1000"",""working_to"":""1900""}],""tue"":[{""working_from"":""1000"",""working_to"":""1900""}],""wed"":[{""working_from"":""1000"",""working_to"":""1900""}],""thu"":[{""working_from"":""1000"",""working_to"":""1900""}],""fri"":[{""working_from"":""1000"",""working_to"":""1900""}],""sat"":[{""working_from"":""1000"",""working_to"":""1900""}]}"
13,12421,Kwality Mobikes Private Limited.,"[""+919980263789"",""+917676243321"",""+917676241635"",""+916360811254"",""+917676257024"",""+916361127627"",""+919538633447""]","{""sun"":[{""working_from"":""1000"",""working_to"":""1900""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
14,258,Dhone Automobiles M,"[""+918856873258"",""+919822454354"",""+919699746973"",""+917028045693"",""+917767813777"",""+917767823777"",""+917219872156""]","{""sun"":[{""working_from"":""0930"",""working_to"":""1930""}],""mon"":[{""working_from"":""0930"",""working_to"":""1930""}],""tue"":[{""working_from"":""0930"",""working_to"":""1930""}],""wed"":[{""working_from"":""0930"",""working_to"":""1930""}],""thu"":[{""working_from"":""0930"",""working_to"":""1930""}],""fri"":[{""working_from"":""0930"",""working_to"":""1930""}],""sat"":[{""working_from"":""0930"",""working_to"":""1930""}]}"
15,13668,Nexus Motorrad,"[""+919884799002"",""+919884799112"",""+919884799113"",""+919884799339""]","{""sun"":[{""working_from"":""0930"",""working_to"":""2000""}],""mon"":[{""working_from"":""0930"",""working_to"":""2000""}],""tue"":[{""working_from"":""0930"",""working_to"":""2000""}],""wed"":[{""working_from"":""0930"",""working_to"":""2000""}],""thu"":[{""working_from"":""0930"",""working_to"":""2000""}],""fri"":[{""working_from"":""0930"",""working_to"":""2000""}],""sat"":[{""working_from"":""0930"",""working_to"":""2000""}]}"
16,4122,Sarabhai Motors-Sales,"[""+919737749922"",""+919824043298"",""+919737726688"",""+919737794433"",""+919737723322"",""+917096183087"",""+919737725522"",""+919737700335""]","{""sun"":[{""working_from"":""1100"",""working_to"":""1630""}],""mon"":[{""working_from"":""1000"",""working_to"":""2030""}],""tue"":[{""working_from"":""1000"",""working_to"":""2030""}],""wed"":[{""working_from"":""1000"",""working_to"":""2030""}],""thu"":[{""working_from"":""1000"",""working_to"":""2030""}],""fri"":[{""working_from"":""1000"",""working_to"":""2030""}],""sat"":[{""working_from"":""1000"",""working_to"":""2030""}]}"
17,6281,Bishnu Oil Company,"[""+919874246441"",""+919831655999"",""+919051188996"",""+919051409911"",""+919875500401"",""+919883638930"",""+919874091119"",""+919051061909""]","{""sun"":[{""working_from"":""1000"",""working_to"":""1930""}],""mon"":[{""working_from"":""1000"",""working_to"":""1930""}],""tue"":[{""working_from"":""1000"",""working_to"":""1930""}],""wed"":[{""working_from"":""1000"",""working_to"":""1930""}],""thu"":[{""working_from"":""1000"",""working_to"":""1930""}],""fri"":[{""working_from"":""1000"",""working_to"":""1930""}],""sat"":[{""working_from"":""1000"",""working_to"":""1930""}]}"
18,3805,Shahila Expositions Pvt.Ltd-Sales,"[""+919706533264"",""+919706381891"",""+919854911186"",""+919706077792"",""+916001175227"",""+919619767162"",""+919864131610"",""+919706319499"",""+919435143095"",""+917002652785"",""+919864206350"",""+917636804626""]","{""sun"":[{""working_from"":""0900"",""working_to"":""1930""}],""mon"":[{""working_from"":""0900"",""working_to"":""1930""}],""tue"":[{""working_from"":""0900"",""working_to"":""1930""}],""wed"":[{""working_from"":""0900"",""working_to"":""1930""}],""thu"":[{""working_from"":""0900"",""working_to"":""1930""}],""fri"":[{""working_from"":""0900"",""working_to"":""1930""}],""sat"":[{""working_from"":""0900"",""working_to"":""1930""}]}"
19,4900,SONIYA MOTORS PVT. LTD. THANE SALES,"[""+919320412838"",""+918879522203"",""+918369720195"",""+917039894544"",""+919702184461"",""+919594876173""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
20,11446,Savera Motors,"[""+919160020989"",""+919701364379""]","{""sun"":[{""working_from"":""0930"",""working_to"":""2000""}],""mon"":[{""working_from"":""0930"",""working_to"":""2000""}],""tue"":[{""working_from"":""0930"",""working_to"":""2000""}],""wed"":[{""working_from"":""0930"",""working_to"":""2000""}],""thu"":[{""working_from"":""0930"",""working_to"":""2000""}],""fri"":[{""working_from"":""0930"",""working_to"":""2000""}],""sat"":[{""working_from"":""0930"",""working_to"":""2000""}]}"
21,10975,Dhone Automobiles Y,"[""+917028920533"",""+917028922644"",""+918669816766"",""+919822454354"",""+917219872159"",""+917028045689"",""+917798800538""]","{""sun"":[{""working_from"":""0930"",""working_to"":""2000""}],""mon"":[{""working_from"":""0930"",""working_to"":""2000""}],""tue"":[{""working_from"":""0930"",""working_to"":""2000""}],""wed"":[{""working_from"":""0930"",""working_to"":""2000""}],""thu"":[{""working_from"":""0930"",""working_to"":""2000""}],""fri"":[{""working_from"":""0930"",""working_to"":""2000""}],""sat"":[{""working_from"":""0930"",""working_to"":""2000""}]}"
