id,dealer_code,dealer_name,store_numbers,working_hours
42,100197,Company Showroom Saket - Sales,"[""+919311539997"",""+919311545007"",""+919953307778"",""+919311544229"",""+919311544699"",""+917210552468"",""+919311545008""]","{""sun"":[{""working_from"":""1100"",""working_to"":""2030""}],""mon"":[{""working_from"":""1100"",""working_to"":""2030""}],""tue"":[{""working_from"":""1100"",""working_to"":""2030""}],""wed"":[{""working_from"":""1100"",""working_to"":""2030""}],""thu"":[{""working_from"":""1100"",""working_to"":""2030""}],""fri"":[{""working_from"":""1100"",""working_to"":""2030""}],""sat"":[{""working_from"":""1100"",""working_to"":""2030""}]}"
43,100030,Company Showroom Hyderabad – Sales,"[""+917013304942"",""+919133312739""]","{""sun"":[{""working_from"":""0900"",""working_to"":""2100""}],""mon"":[{""working_from"":""0900"",""working_to"":""2100""}],""tue"":[{""working_from"":""0900"",""working_to"":""2100""}],""wed"":[{""working_from"":""0900"",""working_to"":""2100""}],""thu"":[{""working_from"":""0900"",""working_to"":""2100""}],""fri"":[{""working_from"":""0900"",""working_to"":""2100""}],""sat"":[{""working_from"":""0900"",""working_to"":""2100""}]}"
44,4796,Brahma Motors -Sales,"[""+917888002032"",""+917276307799"",""+919552449911"",""+917276033077"",""+917888002034"",""+917888002057"",""+917888002060"",""+917888002033"",""+917888002031""]","{""sun"":[{""working_from"":""0900"",""working_to"":""2000""}],""mon"":[{""working_from"":""0900"",""working_to"":""2000""}],""tue"":[{""working_from"":""0900"",""working_to"":""2000""}],""wed"":[{""working_from"":""0900"",""working_to"":""2000""}],""thu"":[{""working_from"":""0900"",""working_to"":""2000""}],""fri"":[{""working_from"":""0900"",""working_to"":""2000""}],""sat"":[{""working_from"":""0900"",""working_to"":""2000""}]}"
45,2197,AHUJA ENTERPRISES - SALES,"[""+917983954536"",""+919997422035"",""+918449088886"",""+918979343451""]","{""mon"":[{""working_from"":""0930"",""working_to"":""2030""}],""tue"":[{""working_from"":""0930"",""working_to"":""2030""}],""wed"":[{""working_from"":""0930"",""working_to"":""2030""}],""thu"":[{""working_from"":""0930"",""working_to"":""2030""}],""fri"":[{""working_from"":""0930"",""working_to"":""2030""}],""sat"":[{""working_from"":""0930"",""working_to"":""2030""}]}"
46,12946,Maverick Motors LLP,"[""+918095633350"",""+919606955051""]","{""sun"":[{""working_from"":""1000"",""working_to"":""1800""}],""mon"":[{""working_from"":""1000"",""working_to"":""1800""}],""tue"":[{""working_from"":""1000"",""working_to"":""1800""}],""wed"":[{""working_from"":""1000"",""working_to"":""1800""}],""thu"":[{""working_from"":""1000"",""working_to"":""1800""}],""fri"":[{""working_from"":""1000"",""working_to"":""1800""}],""sat"":[{""working_from"":""1000"",""working_to"":""1800""}]}"
47,7926,FIRST MUMBAI STORE LLP - SALES,"[""+919820888808"",""+919152007373"",""+919152090130"",""+919152007365""]","{""sun"":[{""working_from"":""0930"",""working_to"":""2100""}],""mon"":[{""working_from"":""0930"",""working_to"":""2100""}],""tue"":[{""working_from"":""0930"",""working_to"":""2100""}],""wed"":[{""working_from"":""0930"",""working_to"":""2100""}],""thu"":[{""working_from"":""0930"",""working_to"":""2100""}],""fri"":[{""working_from"":""0930"",""working_to"":""2100""}],""sat"":[{""working_from"":""0930"",""working_to"":""2100""}]}"
48,11893,Krishna Automotive,"[""+919399491924"",""+919630000163"",""+916232791553"",""+918770950700""]","{""sun"":[{""working_from"":""0900"",""working_to"":""2000""}],""mon"":[{""working_from"":""0900"",""working_to"":""2000""}],""tue"":[{""working_from"":""0900"",""working_to"":""2000""}],""wed"":[{""working_from"":""0900"",""working_to"":""2000""}],""thu"":[{""working_from"":""0900"",""working_to"":""2000""}],""fri"":[{""working_from"":""0900"",""working_to"":""2000""}],""sat"":[{""working_from"":""0900"",""working_to"":""2000""}]}"
49,11834,PR Motocorp,"[""+919151005552"",""+919795677777"",""+917458045545"",""+919151005568"",""+919151005560"",""+919151005573""]","{""sun"":[{""working_from"":""0930"",""working_to"":""1930""}],""mon"":[{""working_from"":""0930"",""working_to"":""1930""}],""tue"":[{""working_from"":""0930"",""working_to"":""1930""}],""wed"":[{""working_from"":""0930"",""working_to"":""1930""}],""thu"":[{""working_from"":""0930"",""working_to"":""1930""}],""fri"":[{""working_from"":""0930"",""working_to"":""1930""}],""sat"":[{""working_from"":""0930"",""working_to"":""1930""}]}"
50,12720,Vignesh Motors,"[""+917305091127"",""+919150068024"",""+917305091186"",""+919150051734"",""+919150068022"",""+919150051700"",""+918129264499"",""+917845718891"",""+917845718862""]","{""sun"":[{""working_from"":""0930"",""working_to"":""2000""}],""mon"":[{""working_from"":""0930"",""working_to"":""2000""}],""tue"":[{""working_from"":""0930"",""working_to"":""2000""}],""wed"":[{""working_from"":""0930"",""working_to"":""2000""}],""thu"":[{""working_from"":""0930"",""working_to"":""2000""}],""fri"":[{""working_from"":""0930"",""working_to"":""2000""}],""sat"":[{""working_from"":""0930"",""working_to"":""2000""}]}"
51,13428,SRI RAJARAJESHWARA AUTOMOTIVES,"[""+918466995499"",""+917286995499""]","{""sun"":[{""working_from"":""0900"",""working_to"":""2000""}],""mon"":[{""working_from"":""0900"",""working_to"":""2000""}],""tue"":[{""working_from"":""0900"",""working_to"":""2000""}],""wed"":[{""working_from"":""0900"",""working_to"":""2000""}],""thu"":[{""working_from"":""0900"",""working_to"":""2000""}],""fri"":[{""working_from"":""0900"",""working_to"":""2000""}],""sat"":[{""working_from"":""0900"",""working_to"":""2000""}]}"
